Feature,SHAP Importance
Variance,0.014944113182585449
ack_flag_number,0.007641479773384808
HTTPS,0.005975193350571729
IAT,0.0050977121565389414
Weight,0.00232222593761215
TCP,0.0020426511760061805
UDP,0.0020237104890920878
syn_count,0.0008906723917726956
Header_Length,0.0006197572307284629
Duration,0.00040263382078685624
rst_count,0.0003728388518859478
Number,0.0003664861711101506
Min,0.000303165747627445
Protocol Type,0.00029504194923850145
Std,0.0002830360006096047
psh_flag_number,0.00022780777784739466
Tot sum,0.00020821403601921465
Magnitue,0.00010928343481960508
HTTP,8.949165015861892e-05
AVG,6.156709023416298e-05
flow_duration,5.709438894684262e-05
urg_count,5.2783771073672956e-05
Tot size,4.692446551325452e-05
Radius,4.663837741217014e-05
Max,3.641732743969763e-05
ack_count,2.897311427381732e-05
Covariance,3.1835116128682404e-06
Srate,2.283401221387255e-06
Rate,7.527311247568962e-07
fin_count,7.056181292048995e-08
DNS,0.0
syn_flag_number,0.0
Drate,0.0
fin_flag_number,0.0
ece_flag_number,0.0
rst_flag_number,0.0
cwr_flag_number,0.0
LLC,0.0
IPv,0.0
ICMP,0.0
ARP,0.0
DHCP,0.0
SSH,0.0
SMTP,0.0
